date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-09-28,73,87,44,19,93,55,89,99,26340,29580,3240,2730,22770,840,396,89,1110,15180,2020-09-27T22:48:43.000+01:00,2020-09-28T07:01:43.000+01:00,66.08,59,25,0.07,0.26,16.875,80,59,78,60,96,95,271,2550,5469,4551,43680,25800,12600,1080,0,3240,1.34375,2,83,65,86,95,76,99,88,92,79
2020-09-29,80,95,96,25,95,51,72,100,28290,31320,3030,6240,20970,1080,452,90,300,15480,2020-09-28T22:27:37.000+01:00,2020-09-29T07:09:37.000+01:00,68.17,63,21,-0.21,0.16,16.75,73,59,95,43,71,78,236,2516,4930,3883,41700,30360,13680,660,0,0,1.3125,1,86,77,89,86,80,98,100,92,64
2020-09-30,86,96,96,89,95,49,70,100,28680,31800,3120,6600,18420,3660,455,90,240,15660,2020-09-29T22:17:55.000+01:00,2020-09-30T07:07:55.000+01:00,67.92,62,31,-0.01,0.11,17.375,82,53,100,60,96,96,602,2916,11227,9820,42120,26640,13620,2760,1260,0,1.53125,0,90,87,91,89,85,100,98,96,76
2020-10-01,69,66,67,59,98,56,75,76,21540,23100,1560,4140,14940,2460,316,93,360,11160,2020-10-01T00:41:01.000+01:00,2020-10-01T07:06:01.000+01:00,67.71,63,18,-0.24,None,16.75,73,48,95,43,71,89,207,2474,3943,3120,46200,28680,11100,300,120,0,1.3125,1,80,58,84,63,81,97,100,93,66
2020-10-02,66,63,85,17,93,62,78,77,20790,23280,2490,5190,14910,690,271,89,420,11040,2020-10-02T00:40:06.000+01:00,2020-10-02T07:08:06.000+01:00,73.85,69,15,-0.29,-0.03,17.5,84,69,100,60,96,96,531,2843,9768,8610,37440,30720,14280,3240,720,0,1.5,0,74,53,77,85,88,95,52,90,86
2020-10-03,72,75,68,64,86,43,75,100,23430,27300,3870,4170,16620,2640,490,86,360,12990,2020-10-02T22:32:04.000+01:00,2020-10-03T06:07:04.000+01:00,72.61,69,20,-0.21,-0.07,17.375,70,49,60,43,71,95,226,2466,4473,3944,45660,27480,12660,600,0,0,1.3125,3,76,63,73,76,86,98,62,90,91
2020-10-04,87,92,95,96,88,55,86,100,27600,31740,4140,5970,17010,4620,385,87,1200,15750,2020-10-03T22:35:42.000+01:00,2020-10-04T07:24:42.000+01:00,71.91,65,25,0.48,0.22,17.375,77,68,100,43,71,92,341,2594,6270,5932,37200,29280,13680,1320,60,4860,1.375,0,82,88,77,85,90,64,100,91,76
2020-10-05,65,65,69,32,100,62,59,71,21120,21780,660,4260,15510,1350,342,97,0,10800,2020-10-05T00:57:00.000+01:00,2020-10-05T07:00:00.000+01:00,71.18,65,25,-0.07,0.21,17.375,71,51,100,43,71,74,224,2516,4415,3546,42840,30420,12720,420,0,0,1.3125,0,74,50,71,89,91,100,78,93,55
2020-10-06,86,91,91,97,97,51,83,100,27360,29880,2520,5550,16080,5730,432,92,540,15120,2020-10-05T22:33:15.000+01:00,2020-10-06T06:51:15.000+01:00,69.93,63,35,0.19,0.32,17.125,80,57,78,60,96,95,521,2798,9515,8623,41880,30240,10860,2280,1140,0,1.46875,2,83,87,74,88,94,89,100,97,33
2020-10-07,79,97,89,34,98,51,59,93,29880,32280,2400,5460,22980,1440,423,93,0,16260,2020-10-06T22:41:25.000+01:00,2020-10-07T07:39:25.000+01:00,73.28,66,18,-0.42,-0.12,17.25,73,53,100,43,71,79,159,2430,3196,2273,43500,32520,9900,480,0,0,1.28125,0,81,74,80,66,91,91,77,94,88
2020-10-08,70,68,74,28,96,47,99,100,21930,24240,2310,4560,16200,1170,399,90,870,12210,2020-10-07T22:48:03.000+01:00,2020-10-08T05:32:03.000+01:00,67.66,62,24,-0.62,-0.2,16.625,65,42,60,43,71,70,230,2526,4533,3720,48660,25980,11040,540,180,0,1.34375,3,83,59,77,90,97,84,100,95,72
2020-10-09,84,96,96,56,86,51,94,98,28800,33600,4800,6450,20040,2310,506,86,750,17520,2020-10-08T22:10:00.000+01:00,2020-10-09T07:30:00.000+01:00,72.99,66,25,-0.4,-0.31,17.125,61,48,95,25,40,57,206,2514,3953,3072,46200,27180,12660,360,0,0,1.3125,1,83,83,82,80,99,91,76,96,61
2020-10-10,83,95,97,73,95,44,67,94,28440,31560,3120,6780,18660,3000,509,90,150,15960,2020-10-09T22:44:08.000+01:00,2020-10-10T07:30:08.000+01:00,69.84,64,26,-0.37,-0.18,17.25,81,96,100,43,71,95,637,2824,13967,11603,21840,42900,11820,5400,60,4380,1.46875,0,88,81,85,86,98,93,93,97,80
2020-10-11,70,76,98,56,100,52,64,38,23760,24960,1200,7800,13650,2310,462,95,120,12600,2020-10-11T01:33:45.000+01:00,2020-10-11T08:29:45.000+01:00,67.53,64,21,-0.1,0.16,16.875,79,84,95,43,71,95,445,2661,7849,7822,27600,41640,14880,2040,240,0,1.375,1,79,58,82,93,94,100,100,95,23
2020-10-12,70,79,83,13,90,44,75,100,24420,27840,3420,5100,18780,540,459,88,360,14370,2020-10-11T22:43:16.000+01:00,2020-10-12T06:27:16.000+01:00,70.38,64,19,-0.07,0.17,17.25,73,56,78,43,71,95,347,2629,7223,6008,41760,30180,12780,1680,0,0,1.375,2,84,57,88,92,91,100,100,93,66
2020-10-13,83,94,98,31,99,62,75,100,28020,29940,1920,7530,19170,1320,343,94,330,15270,2020-10-12T22:37:48.000+01:00,2020-10-13T06:56:48.000+01:00,67.05,63,20,-0.21,None,16.375,76,59,100,43,71,97,632,2958,10474,10197,40920,26940,14880,2580,1080,0,1.5625,0,91,81,90,85,90,98,100,91,100
2020-10-14,80,82,82,95,88,53,75,99,25140,28860,3720,5040,15990,4110,377,87,330,14610,2020-10-13T22:56:59.000+01:00,2020-10-14T06:57:59.000+01:00,73.68,69,22,0.04,0.1,17.75,74,46,95,43,71,96,379,2734,8358,6204,46740,21780,15720,2100,60,0,1.4375,1,79,76,88,65,84,100,59,91,85
2020-10-15,58,55,52,11,97,56,67,72,18900,20460,1560,3240,15210,450,271,92,180,10110,2020-10-15T01:05:02.000+01:00,2020-10-15T06:46:02.000+01:00,75.63,72,12,0.16,0.22,16.75,85,74,95,60,96,98,578,2881,11199,9562,33900,28440,11040,4140,600,8280,1.5,1,69,34,79,80,84,91,43,84,86
2020-10-16,74,84,96,14,79,43,97,94,25740,31080,5340,6720,18450,570,420,83,810,16680,2020-10-15T22:33:29.000+01:00,2020-10-16T07:11:29.000+01:00,71.38,64,20,0.08,0.29,17.75,81,49,95,60,96,97,211,2497,4021,3336,45120,30300,10080,840,60,0,1.3125,1,81,64,79,80,81,98,100,83,81
